ACT1_1,ACT1_2,DISTRESS,EMPLOY,FINGOALS,FSscore,FWBscore,GOALCONF,KHscore,LMscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,PPEDUC,PPHHSIZE,PPINCIMP,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,SAVEHABIT,SELFCONTROL_1,SELFCONTROL_2,SELFCONTROL_3,agecat,HARDSHIP_TOTAL,FWB_high,FWBcat
5.0,4.0,3.0,8.0,0.0,57.0,72.0,4.0,0.712,3,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4,2,7,4.0,4.0,4.0,4.0,6.0,2.0,4.0,3.0,7,1.0,1,High
5.0,5.0,4.0,1.0,1.0,55.0,55.0,4.0,0.242,3,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,9,5.0,5.0,5.0,4.0,5.0,1.0,4.0,4.0,5,0.0,1,Medium
5.0,3.0,2.0,2.0,1.0,58.0,59.0,4.0,-0.188,3,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,6,4.0,4.0,4.0,3.0,6.0,1.0,3.0,4.0,2,0.0,1,Medium
5.0,4.0,3.0,3.0,1.0,51.0,67.0,4.0,0.712,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,8,3.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,6,0.0,1,High
5.0,5.0,4.0,6.0,0.0,79.0,26.0,4.0,-1.713,1,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2,5,1,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3,6.0,0,Low
5.0,5.0,2.0,8.0,1.0,42.0,55.0,3.0,-0.57,2,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,8,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,8,0.0,1,Medium
5.0,5.0,2.0,8.0,1.0,77.0,86.0,4.0,1.267,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,9,5.0,5.0,5.0,5.0,6.0,1.0,3.0,4.0,8,0.0,1,High
4.0,4.0,2.0,2.0,1.0,46.0,78.0,3.0,0.712,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,8,4.0,4.0,4.0,4.0,6.0,2.0,3.0,3.0,6,0.0,1,High
4.0,4.0,3.0,3.0,1.0,59.0,66.0,4.0,0.242,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,9,3.0,4.0,5.0,3.0,6.0,2.0,3.0,4.0,3,0.0,1,High
5.0,3.0,2.0,8.0,,46.0,62.0,4.0,0.712,3,5.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,4,3.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,7,0.0,1,High
4.0,4.0,5.0,2.0,1.0,56.0,62.0,4.0,0.242,3,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,9,5.0,4.0,4.0,2.0,6.0,2.0,3.0,3.0,2,0.0,1,High
3.0,3.0,2.0,3.0,0.0,42.0,47.0,3.0,0.242,3,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,5,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,5,0.0,0,Medium
5.0,5.0,2.0,8.0,0.0,64.0,72.0,4.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,3,3.0,4.0,5.0,4.0,5.0,1.0,4.0,3.0,7,0.0,1,High
4.0,2.0,4.0,2.0,1.0,41.0,50.0,2.0,0.242,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3,9,4.0,4.0,4.0,3.0,6.0,1.0,2.0,3.0,4,0.0,0,Medium
5.0,4.0,2.0,8.0,1.0,57.0,77.0,4.0,0.712,3,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,5.0,5.0,5.0,4.0,5.0,1.0,3.0,3.0,8,0.0,1,High
5.0,5.0,3.0,8.0,1.0,62.0,67.0,4.0,0.712,2,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,8,2.0,4.0,3.0,3.0,6.0,1.0,3.0,3.0,6,0.0,1,High
3.0,2.0,4.0,2.0,1.0,32.0,40.0,2.0,0.242,3,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3,8,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4,0.0,0,Low
5.0,4.0,4.0,1.0,0.0,48.0,61.0,4.0,-0.188,2,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3,8,2.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,3,0.0,1,High
4.0,4.0,4.0,,1.0,59.0,59.0,4.0,-0.57,1,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,6,5.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,2,0.0,1,Medium
