FWBscore,SAVEHABIT,SCFHORIZON,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,ACT1_1,ACT1_2,FINGOALS,GOALCONF,DISTRESS,ABSORBSHOCK,VOLATILITY,ENDSMEET,COVERCOSTS,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,PAREDUC,FINSOC2_1,FINSOC2_2,FINSOC2_3,FINSOC2_4,FINSOC2_5,FINSOC2_6,FINSOC2_7,EARNERS,PPHHSIZE,LIVINGARRANGEMENT,MATERIALISM_1,MATERIALISM_2,MATERIALISM_3,CONNECT,OUTLOOK_1,OUTLOOK_2,agecat,PPINCIMP,PPEDUC,EMPLOY,PPGENDER,PPETHM,LMscore,KHscore,FSscore,finalwt,row_missing_core_pct,HARDSHIP_TOTAL,FWB_high_54,FWB_high_56,FWBcat,behavior_cluster
77.0,6.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2,2.0,2.0,4.0,3.0,100.0,4.0,3.0,6,9,3,8.0,1,1,3,0.712,57.0,0.641699028519133,0.0,6,1,1,High,1
57.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,5,2.0,3.0,2.0,2.0,80.0,5.0,5.0,4,8,5,2.0,1,1,3,0.242,76.0,0.57682275648546,0.0,6,1,1,Medium,1
71.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,2.0,5.0,4.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,2.0,1.0,2.0,1.0,50.0,3.0,3.0,6,9,3,8.0,2,1,2,0.242,61.0,0.632409533026282,0.0,6,1,1,High,2
76.0,6.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2,4.0,1.0,3.0,1.0,100.0,3.0,5.0,1,3,5,1.0,2,1,3,1.267,70.0,0.419506524917905,0.0,6,1,1,High,1
52.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,1,1,0,0,0,0,1,1,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2,2.0,3.0,3.0,3.0,95.0,4.0,2.0,6,7,3,8.0,2,3,3,0.712,60.0,0.54864857412814,0.0,6,0,0,Medium,1
51.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,0,1,1,0,0,0,0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4,3.0,3.0,3.0,2.0,50.0,2.0,4.0,2,3,4,2.0,2,1,2,-1.215,39.0,0.940052335571398,0.0,6,0,0,Medium,2
30.0,2.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,2.0,4.0,2.0,3.0,80.0,3.0,3.0,4,5,4,6.0,1,1,3,-0.188,61.0,0.603385559440927,0.0,6,0,0,Low,2
60.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3,3.0,3.0,3.0,2.0,60.0,2.0,3.0,2,4,2,2.0,1,1,3,0.242,40.0,1.43573574517989,0.0,6,1,1,Medium,2
34.0,3.0,1.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,3.0,0.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,4.0,3.0,4.0,95.0,2.0,2.0,6,2,3,1.0,1,1,3,0.712,60.0,0.801111926963704,0.0,6,0,0,Low,2
76.0,5.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,2.0,1.0,3.0,1.0,100.0,3.0,4.0,8,8,5,8.0,1,1,3,0.242,55.0,0.242529596904614,0.0,6,1,1,High,1
50.0,3.0,1.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2,2.0,2.0,3.0,3.0,100.0,3.0,4.0,6,4,2,8.0,2,1,3,0.242,43.0,0.647300589645439,0.0,6,0,0,Medium,2
